company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Capital Placement Services,Looking For Market Research Analyst,Gurgaon,1100000.0,"Market analysis, Market research",,Digital Marketing Specialist
Zazz,Growth Marketing Analyst,India,1500000.0,"Email marketing, Data analysis skills, Tableau, Analysis skills, Digital marketing",4.0,Digital Marketing Specialist
ZF,Market Research Analyst,Pune,500000.0,"Microsoft Powerpoint, Microsoft Excel, Microsoft Office, Analysis skills, Market research",3.9,Digital Marketing Specialist
Akshita Infra,Digital Marketing Analyst,India,366000.0,"Social media marketing, Facebook Advertising, Analysis skills, Content creation, Digital marketing",,Digital Marketing Specialist
One Root (ENP Farms Private Limited),Market Research Analyst,India,300000.0,"Tableau, Market research, Data collection, SPSS, Marketing",,Digital Marketing Specialist
Recruise,1700_ Data and Market Research Analyst,Bengaluru,0.0,"Statistical software, Power BI, Microsoft Excel, Relational databases, R",4.7,Digital Marketing Specialist
Qualminds,Digital Marketing Analyst,Hyderābād,550000.0,"Google AdWords, Microsoft Office, Digital marketing, Machine learning, Agile",4.7,Digital Marketing Specialist
Sagebridge pvt ltd,DigitalMarketing / Growth Analyst / Innovation Consultant,Remote,180000.0,"Microsoft Powerpoint, Sales, Data analysis skills, Lead generation, English",,Digital Marketing Specialist
Tvisha Technologies pvt Ltd,Digital Marketing Analyst,Hyderābād,250000.0,"Social media marketing, Keyword research, Analysis skills, Digital marketing, SEO",,Digital Marketing Specialist
Interactive Brokers,Market Data Operations Analyst,Mumbai,600000.0,"Jira, Microsoft Excel, English, Confluence, Communication skills",3.8,Digital Marketing Specialist
